image_path,mask_path,level1,level2,class_name,source
C:\Users\vanlo\Desktop\dataset_cleaned\bone_tumor\benign\giant_cell_tumor\images\IMG000234.jpeg,C:\Users\vanlo\Desktop\dataset_cleaned\bone_tumor\benign\giant_cell_tumor\masks\IMG000234_mask.png,bone_tumor,benign,giant_cell_tumor,dataset_cleaned
C:\Users\vanlo\Desktop\dataset_cleaned\bone_tumor\benign\giant_cell_tumor\images\IMG000235.jpeg,C:\Users\vanlo\Desktop\dataset_cleaned\bone_tumor\benign\giant_cell_tumor\masks\IMG000235_mask.png,bone_tumor,benign,giant_cell_tumor,dataset_cleaned
C:\Users\vanlo\Desktop\dataset_cleaned\bone_tumor\benign\giant_cell_tumor\images\IMG000242.jpeg,C:\Users\vanlo\Desktop\dataset_cleaned\bone_tumor\benign\giant_cell_tumor\masks\IMG000242_mask.png,bone_tumor,benign,giant_cell_tumor,dataset_cleaned
C:\Users\vanlo\Desktop\dataset_cleaned\bone_tumor\benign\giant_cell_tumor\images\IMG000243.jpeg,C:\Users\vanlo\Desktop\dataset_cleaned\bone_tumor\benign\giant_cell_tumor\masks\IMG000243_mask.png,bone_tumor,benign,giant_cell_tumor,dataset_cleaned
C:\Users\vanlo\Desktop\dataset_cleaned\bone_tumor\benign\giant_cell_tumor\images\IMG000247.jpeg,C:\Users\vanlo\Desktop\dataset_cleaned\bone_tumor\benign\giant_cell_tumor\masks\IMG000247_mask.png,bone_tumor,benign,giant_cell_tumor,dataset_cleaned
C:\Users\vanlo\Desktop\dataset_cleaned\bone_tumor\benign\giant_cell_tumor\images\IMG000248.jpeg,C:\Users\vanlo\Desktop\dataset_cleaned\bone_tumor\benign\giant_cell_tumor\masks\IMG000248_mask.png,bone_tumor,benign,giant_cell_tumor,dataset_cleaned
C:\Users\vanlo\Desktop\dataset_cleaned\bone_tumor\benign\giant_cell_tumor\images\IMG000249.jpeg,C:\Users\vanlo\Desktop\dataset_cleaned\bone_tumor\benign\giant_cell_tumor\masks\IMG000249_mask.png,bone_tumor,benign,giant_cell_tumor,dataset_cleaned
C:\Users\vanlo\Desktop\dataset_cleaned\bone_tumor\benign\giant_cell_tumor\images\IMG000289.jpeg,C:\Users\vanlo\Desktop\dataset_cleaned\bone_tumor\benign\giant_cell_tumor\masks\IMG000289_mask.png,bone_tumor,benign,giant_cell_tumor,dataset_cleaned
C:\Users\vanlo\Desktop\dataset_cleaned\bone_tumor\benign\giant_cell_tumor\images\IMG000290.jpeg,C:\Users\vanlo\Desktop\dataset_cleaned\bone_tumor\benign\giant_cell_tumor\masks\IMG000290_mask.png,bone_tumor,benign,giant_cell_tumor,dataset_cleaned
C:\Users\vanlo\Desktop\dataset_cleaned\bone_tumor\benign\giant_cell_tumor\images\IMG000332.jpeg,C:\Users\vanlo\Desktop\dataset_cleaned\bone_tumor\benign\giant_cell_tumor\masks\IMG000332_mask.png,bone_tumor,benign,giant_cell_tumor,dataset_cleaned
C:\Users\vanlo\Desktop\dataset_cleaned\bone_tumor\benign\giant_cell_tumor\images\IMG000333.jpeg,C:\Users\vanlo\Desktop\dataset_cleaned\bone_tumor\benign\giant_cell_tumor\masks\IMG000333_mask.png,bone_tumor,benign,giant_cell_tumor,dataset_cleaned
C:\Users\vanlo\Desktop\dataset_cleaned\bone_tumor\benign\giant_cell_tumor\images\IMG000346.jpeg,C:\Users\vanlo\Desktop\dataset_cleaned\bone_tumor\benign\giant_cell_tumor\masks\IMG000346_mask.png,bone_tumor,benign,giant_cell_tumor,dataset_cleaned
C:\Users\vanlo\Desktop\dataset_cleaned\bone_tumor\benign\giant_cell_tumor\images\IMG000347.jpeg,C:\Users\vanlo\Desktop\dataset_cleaned\bone_tumor\benign\giant_cell_tumor\masks\IMG000347_mask.png,bone_tumor,benign,giant_cell_tumor,dataset_cleaned
C:\Users\vanlo\Desktop\dataset_cleaned\bone_tumor\benign\giant_cell_tumor\images\IMG000369.jpeg,C:\Users\vanlo\Desktop\dataset_cleaned\bone_tumor\benign\giant_cell_tumor\masks\IMG000369_mask.png,bone_tumor,benign,giant_cell_tumor,dataset_cleaned
C:\Users\vanlo\Desktop\dataset_cleaned\bone_tumor\benign\giant_cell_tumor\images\IMG000370.jpeg,C:\Users\vanlo\Desktop\dataset_cleaned\bone_tumor\benign\giant_cell_tumor\masks\IMG000370_mask.png,bone_tumor,benign,giant_cell_tumor,dataset_cleaned
C:\Users\vanlo\Desktop\dataset_cleaned\bone_tumor\benign\giant_cell_tumor\images\IMG000415.jpeg,C:\Users\vanlo\Desktop\dataset_cleaned\bone_tumor\benign\giant_cell_tumor\masks\IMG000415_mask.png,bone_tumor,benign,giant_cell_tumor,dataset_cleaned
C:\Users\vanlo\Desktop\dataset_cleaned\bone_tumor\benign\giant_cell_tumor\images\IMG000437.jpeg,C:\Users\vanlo\Desktop\dataset_cleaned\bone_tumor\benign\giant_cell_tumor\masks\IMG000437_mask.png,bone_tumor,benign,giant_cell_tumor,dataset_cleaned
C:\Users\vanlo\Desktop\dataset_cleaned\bone_tumor\benign\giant_cell_tumor\images\IMG000438.jpeg,C:\Users\vanlo\Desktop\dataset_cleaned\bone_tumor\benign\giant_cell_tumor\masks\IMG000438_mask.png,bone_tumor,benign,giant_cell_tumor,dataset_cleaned
C:\Users\vanlo\Desktop\dataset_cleaned\bone_tumor\benign\giant_cell_tumor\images\IMG000459.jpeg,C:\Users\vanlo\Desktop\dataset_cleaned\bone_tumor\benign\giant_cell_tumor\masks\IMG000459_mask.png,bone_tumor,benign,giant_cell_tumor,dataset_cleaned
C:\Users\vanlo\Desktop\dataset_cleaned\bone_tumor\benign\giant_cell_tumor\images\IMG000460.jpeg,C:\Users\vanlo\Desktop\dataset_cleaned\bone_tumor\benign\giant_cell_tumor\masks\IMG000460_mask.png,bone_tumor,benign,giant_cell_tumor,dataset_cleaned
C:\Users\vanlo\Desktop\dataset_cleaned\bone_tumor\benign\giant_cell_tumor\images\IMG000463.jpeg,C:\Users\vanlo\Desktop\dataset_cleaned\bone_tumor\benign\giant_cell_tumor\masks\IMG000463_mask.png,bone_tumor,benign,giant_cell_tumor,dataset_cleaned
C:\Users\vanlo\Desktop\dataset_cleaned\bone_tumor\benign\giant_cell_tumor\images\IMG000464.jpeg,C:\Users\vanlo\Desktop\dataset_cleaned\bone_tumor\benign\giant_cell_tumor\masks\IMG000464_mask.png,bone_tumor,benign,giant_cell_tumor,dataset_cleaned
C:\Users\vanlo\Desktop\dataset_cleaned\bone_tumor\benign\giant_cell_tumor\images\IMG000465.jpeg,C:\Users\vanlo\Desktop\dataset_cleaned\bone_tumor\benign\giant_cell_tumor\masks\IMG000465_mask.png,bone_tumor,benign,giant_cell_tumor,dataset_cleaned
